County	Candidate	Party	Votes	Vote share	Expected votes counted ()
Adams	Donald Trump wins	Republican (incumbent)	10077	69.9	100
Adams	Kamala Harris	Democrat	4100	28.4	100
Adams	Chase Oliver	Libertarian	89	0.6	100
Adams	Cornel West	Unity	54	0.4	100
Adams	Write-ins	Write - In	48	0.3	100
Adams	Jill Stein	Green	44	0.3	100
Antelope	Donald Trump wins	Republican (incumbent)	3032	87.7	100
Antelope	Kamala Harris	Democrat	396	11.5	100
Antelope	Chase Oliver	Libertarian	11	0.3	100
Antelope	Write-ins	Write - In	11	0.3	100
Antelope	Cornel West	Unity	6	0.2	100
Antelope	Jill Stein	Green	2	0.1	100
Arthur	Donald Trump wins	Republican (incumbent)	264	93.3	100
Arthur	Kamala Harris	Democrat	17	6.0	100
Arthur	Chase Oliver	Libertarian	1	0.4	100
Arthur	Write-ins	Write - In	1	0.4	100
Arthur	Jill Stein	Green	0	0.0	100
Arthur	Cornel West	Unity	0	0.0	100
Banner	Donald Trump wins	Republican (incumbent)	348	89.2	100
Banner	Kamala Harris	Democrat	34	8.7	100
Banner	Write-ins	Write - In	4	1.0	100
Banner	Chase Oliver	Libertarian	2	0.5	100
Banner	Cornel West	Unity	2	0.5	100
Banner	Jill Stein	Green	0	0.0	100
Blaine	Donald Trump wins	Republican (incumbent)	250	85.6	100
Blaine	Kamala Harris	Democrat	37	12.7	100
Blaine	Chase Oliver	Libertarian	3	1.0	100
Blaine	Jill Stein	Green	1	0.3	100
Blaine	Write-ins	Write - In	1	0.3	100
Blaine	Cornel West	Unity	0	0.0	100
Boone	Donald Trump wins	Republican (incumbent)	2499	82.2	100
Boone	Kamala Harris	Democrat	496	16.3	100
Boone	Chase Oliver	Libertarian	21	0.7	100
Boone	Cornel West	Unity	9	0.3	100
Boone	Write-ins	Write - In	9	0.3	100
Boone	Jill Stein	Green	6	0.2	100
Box Butte	Donald Trump wins	Republican (incumbent)	3827	77.5	100
Box Butte	Kamala Harris	Democrat	1043	21.1	100
Box Butte	Chase Oliver	Libertarian	27	0.5	100
Box Butte	Jill Stein	Green	18	0.4	100
Box Butte	Cornel West	Unity	16	0.3	100
Box Butte	Write-ins	Write - In	6	0.1	100
Boyd	Donald Trump wins	Republican (incumbent)	938	87.2	100
Boyd	Kamala Harris	Democrat	132	12.3	100
Boyd	Chase Oliver	Libertarian	5	0.5	100
Boyd	Write-ins	Write - In	1	0.1	100
Boyd	Jill Stein	Green	0	0.0	100
Boyd	Cornel West	Unity	0	0.0	100
Brown	Donald Trump wins	Republican (incumbent)	1428	86.7	100
Brown	Kamala Harris	Democrat	201	12.2	100
Brown	Chase Oliver	Libertarian	6	0.4	100
Brown	Write-ins	Write - In	6	0.4	100
Brown	Cornel West	Unity	5	0.3	100
Brown	Jill Stein	Green	2	0.1	100
Buffalo	Donald Trump wins	Republican (incumbent)	17064	71.5	100
Buffalo	Kamala Harris	Democrat	6386	26.7	100
Buffalo	Chase Oliver	Libertarian	169	0.7	100
Buffalo	Write-ins	Write - In	118	0.5	100
Buffalo	Jill Stein	Green	78	0.3	100
Buffalo	Cornel West	Unity	62	0.3	100
Burt	Donald Trump wins	Republican (incumbent)	2632	71.8	100
Burt	Kamala Harris	Democrat	983	26.8	100
Burt	Chase Oliver	Libertarian	19	0.5	100
Burt	Cornel West	Unity	13	0.4	100
Burt	Jill Stein	Green	9	0.2	100
Burt	Write-ins	Write - In	9	0.2	100
Butler	Donald Trump wins	Republican (incumbent)	3642	79.1	100
Butler	Kamala Harris	Democrat	906	19.7	100
Butler	Chase Oliver	Libertarian	25	0.5	100
Butler	Write-ins	Write - In	20	0.4	100
Butler	Cornel West	Unity	10	0.2	100
Butler	Jill Stein	Green	4	0.1	100
Cass	Donald Trump wins	Republican (incumbent)	10685	67.5	100
Cass	Kamala Harris	Democrat	4824	30.5	100
Cass	Chase Oliver	Libertarian	135	0.9	100
Cass	Write-ins	Write - In	75	0.5	100
Cass	Cornel West	Unity	66	0.4	100
Cass	Jill Stein	Green	45	0.3	100
Cedar	Donald Trump wins	Republican (incumbent)	4141	83.9	100
Cedar	Kamala Harris	Democrat	702	14.2	100
Cedar	Chase Oliver	Libertarian	44	0.9	100
Cedar	Write-ins	Write - In	26	0.5	100
Cedar	Cornel West	Unity	13	0.3	100
Cedar	Jill Stein	Green	12	0.2	100
Chase	Donald Trump wins	Republican (incumbent)	1648	88.2	100
Chase	Kamala Harris	Democrat	204	10.9	100
Chase	Chase Oliver	Libertarian	10	0.5	100
Chase	Jill Stein	Green	3	0.2	100
Chase	Write-ins	Write - In	2	0.1	100
Chase	Cornel West	Unity	1	0.1	100
Cherry	Donald Trump wins	Republican (incumbent)	2687	87.3	100
Cherry	Kamala Harris	Democrat	349	11.3	100
Cherry	Chase Oliver	Libertarian	22	0.7	100
Cherry	Write-ins	Write - In	9	0.3	100
Cherry	Jill Stein	Green	6	0.2	100
Cherry	Cornel West	Unity	5	0.2	100
Cheyenne	Donald Trump wins	Republican (incumbent)	3692	81.1	100
Cheyenne	Kamala Harris	Democrat	787	17.3	100
Cheyenne	Chase Oliver	Libertarian	27	0.6	100
Cheyenne	Write-ins	Write - In	22	0.5	100
Cheyenne	Jill Stein	Green	12	0.3	100
Cheyenne	Cornel West	Unity	12	0.3	100
Clay	Donald Trump wins	Republican (incumbent)	2677	80.7	100
Clay	Kamala Harris	Democrat	577	17.4	100
Clay	Chase Oliver	Libertarian	28	0.8	100
Clay	Jill Stein	Green	14	0.4	100
Clay	Cornel West	Unity	14	0.4	100
Clay	Write-ins	Write - In	9	0.3	100
Colfax	Donald Trump wins	Republican (incumbent)	2636	74.9	100
Colfax	Kamala Harris	Democrat	845	24.0	100
Colfax	Chase Oliver	Libertarian	20	0.6	100
Colfax	Cornel West	Unity	8	0.2	100
Colfax	Jill Stein	Green	7	0.2	100
Colfax	Write-ins	Write - In	3	0.1	100
Cuming	Donald Trump wins	Republican (incumbent)	3536	79.3	100
Cuming	Kamala Harris	Democrat	867	19.5	100
Cuming	Chase Oliver	Libertarian	25	0.6	100
Cuming	Write-ins	Write - In	12	0.3	100
Cuming	Cornel West	Unity	9	0.2	100
Cuming	Jill Stein	Green	8	0.2	100
Custer	Donald Trump wins	Republican (incumbent)	5042	85.3	100
