	Type	1
1	A	35
1	B	6
10	A	41
10	B	11
11	A	27
11	B	7
12	A	54
12	B	6
13	A	22
13	B	4
14	A	8
14	B	7
15	A	6
15	B	13
16	A	5
16	B	10
17	A	3
17	B	9
18	A	2
18	B	5
19	A	5
19	B	7
2	A	71
2	B	4
20	A	4
20	B	13
21	A	2
21	B	10
22	A	2
22	B	1
3	A	84
3	B	6
4	A	123
4	B	5
40	A	18
40	B	2
41	A	10
42	A	9
42	B	3
43	A	18
43	B	5
44	A	20
44	B	8
45	A	15
45	B	5
46	A	14
46	B	2
47	A	8
47	B	1
48	A	19
48	B	6
49	A	47
49	B	2
5	A	123
5	B	10
50	A	56
50	B	2
51	A	25
51	B	2
52	A	17
52	B	8
53	A	5
53	B	1
6	A	150
6	B	12
7	A	113
7	B	3
8	A	101
8	B	4
9	A	163
9	B	5
