Type	Date
A	02/19/2008
A	10/10/2007
A	10/10/2007
A	10/26/2007
A	10/26/2007
A	11/15/2007
A	12/05/2007
A	12/14/2007
A	01/09/2008
A	01/09/2008
A	01/17/2008
A	02/02/2008
A	01/12/2008
A	01/22/2008
A	02/27/2008
A	02/07/2008
A	01/12/2008
A	02/29/2008
A	02/18/2008
A	02/28/2008
A	03/08/2008
A	03/08/2008
A	03/12/2008
A	04/04/2008
A	04/17/2008
A	04/18/2008
A	05/12/2008
A	05/20/2008
A	05/20/2008
A	05/20/2008
A	05/24/2008
A	01/25/2008
B	02/03/2008
B	01/25/2008
A	01/18/2008
A	01/29/2008
A	02/11/2008
A	02/15/2008
A	02/15/2008
A	12/21/2007
A	12/03/2007
A	12/03/2007
A	12/10/2007
A	12/17/2007
A	12/17/2007
A	12/20/2007
A	01/02/2008
A	01/02/2008
A	01/02/2008
A	01/07/2008
A	01/07/2008
A	01/06/2008
A	01/08/2008
A	01/09/2008
A	01/08/2008
A	01/08/2008
A	01/07/2008
A	01/09/2008
A	01/09/2008
A	01/11/2008
A	01/14/2008
A	01/10/2008
A	01/11/2008
A	01/14/2008
A	01/14/2008
A	01/14/2008
A	01/14/2008
A	01/14/2008
A	01/13/2008
A	01/12/2008
A	01/14/2008
A	01/16/2008
A	01/16/2008
A	01/16/2008
A	01/15/2008
A	01/16/2008
A	01/17/2008
A	01/17/2008
A	01/17/2008
A	01/17/2008
A	01/17/2008
A	01/18/2008
A	01/17/2008
A	01/17/2008
A	01/18/2008
A	01/21/2008
A	01/22/2008
A	01/16/2008
A	01/20/2008
A	01/21/2008
A	01/18/2008
A	01/22/2008
A	01/23/2008
A	10/27/2007
A	12/26/2007
A	10/08/2007
A	10/08/2007
A	12/28/2007
A	10/24/2007
A	10/07/2007
A	10/04/2007
A	12/26/2007
A	01/23/2008
A	01/17/2008
A	01/22/2008
A	01/04/2008
A	01/15/2008
A	01/09/2008
A	01/17/2008
A	01/14/2008
A	01/23/2008
A	01/03/2008
A	01/15/2008
A	01/16/2008
A	01/23/2008
A	01/14/2008
A	01/07/2008
A	01/10/2008
A	01/18/2008
A	01/12/2008
A	01/14/2008
A	01/17/2008
A	01/09/2008
A	01/15/2008
A	01/17/2008
A	01/24/2008
A	01/14/2008
A	01/25/2008
A	01/25/2008
A	01/16/2008
A	01/17/2008
A	01/22/2008
A	01/17/2008
A	01/24/2008
A	01/17/2008
A	01/23/2008
A	01/10/2008
A	01/16/2008
A	01/23/2008
A	01/03/2008
A	01/29/2008
A	02/05/2008
A	02/06/2008
A	02/05/2008
A	02/06/2008
A	02/06/2008
A	02/05/2008
A	02/07/2008
A	02/06/2008
A	02/07/2008
A	02/05/2008
A	02/06/2008
A	02/02/2008
A	02/01/2008
A	02/06/2008
A	02/01/2008
A	02/03/2008
A	01/31/2008
A	02/01/2008
A	01/02/2008
A	11/17/2007
A	12/01/2007
A	12/01/2007
A	12/01/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/15/2007
A	12/16/2007
A	11/21/2007
A	12/16/2007
A	02/18/2008
A	02/18/2008
A	02/18/2008
A	02/18/2008
A	02/25/2008
A	02/25/2008
A	03/02/2008
A	01/28/2008
A	03/24/2008
A	03/24/2008
A	03/24/2008
A	03/24/2008
A	03/24/2008
A	02/24/2008
A	03/02/2008
A	03/24/2008
A	10/24/2007
A	11/02/2007
A	12/11/2007
A	10/03/2007
A	12/04/2007
A	12/10/2007
A	12/31/2007
A	12/31/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/08/2007
A	12/09/2007
A	12/09/2007
A	12/09/2007
A	12/10/2007
A	12/10/2007
A	12/10/2007
A	12/11/2007
A	12/11/2007
A	10/13/2007
A	10/19/2007
A	10/24/2007
A	10/19/2007
A	10/25/2007
A	10/25/2007
A	10/29/2007
A	10/29/2007
A	10/30/2007
A	10/30/2007
A	10/29/2007
A	10/05/2007
A	10/04/2007
A	10/15/2007
A	10/16/2007
A	10/19/2007
A	10/22/2007
A	10/25/2007
A	10/31/2007
A	11/02/2007
A	11/02/2007
A	11/02/2007
A	11/06/2007
A	11/07/2007
A	11/13/2007
A	10/30/2007
A	12/19/2007
A	12/25/2007
A	11/28/2007
A	12/21/2007
A	12/24/2007
A	12/24/2007
A	10/22/2007
A	12/20/2007
A	10/29/2007
A	10/29/2007
A	01/30/2008
A	01/31/2008
A	03/20/2008
A	01/01/2008
A	01/28/2008
A	02/04/2008
A	02/05/2008
A	02/05/2008
A	02/26/2008
A	01/31/2008
A	02/07/2008
A	01/08/2008
A	01/22/2008
A	01/25/2008
A	01/23/2008
A	01/24/2008
A	02/07/2008
A	02/08/2008
A	01/27/2008
A	02/01/2008
A	02/05/2008
A	02/08/2008
A	02/08/2008
A	02/23/2008
A	02/23/2008
A	01/28/2008
A	01/30/2008
A	02/06/2008
A	02/07/2008
A	02/14/2008
A	01/09/2008
A	01/23/2008
A	02/14/2008
A	02/14/2008
A	02/19/2008
A	02/22/2008
A	01/31/2008
A	02/06/2008
A	01/07/2008
A	01/08/2008
A	01/09/2008
A	01/16/2008
A	01/23/2008
A	01/16/2008
A	01/24/2008
A	01/24/2008
A	01/25/2008
A	01/25/2008
A	01/25/2008
A	01/28/2008
A	01/29/2008
A	02/04/2008
A	01/31/2008
A	01/31/2008
A	02/05/2008
A	02/19/2008
A	02/20/2008
A	02/21/2008
A	01/09/2008
A	01/09/2008
A	01/09/2008
A	01/10/2008
A	01/10/2008
A	01/14/2008
A	01/11/2008
A	01/24/2008
A	01/25/2008
A	01/26/2008
A	01/29/2008
A	01/30/2008
A	02/11/2008
A	02/19/2008
A	02/27/2008
A	02/27/2008
A	02/27/2008
A	02/27/2008
A	10/11/2007
A	11/23/2007
A	12/18/2007
A	11/24/2007
A	10/01/2007
A	10/07/2007
A	01/23/2008
A	01/30/2008
A	01/31/2008
A	02/04/2008
A	02/04/2008
A	02/05/2008
A	02/05/2008
A	02/05/2008
A	02/06/2008
A	02/11/2008
A	02/11/2008
A	02/13/2008
A	02/15/2008
A	02/19/2008
A	03/14/2008
A	02/11/2008
A	03/04/2008
A	02/07/2008
A	03/27/2008
A	04/09/2008
A	01/23/2008
A	01/31/2008
A	02/04/2008
A	02/04/2008
A	02/05/2008
A	02/06/2008
A	02/08/2008
A	02/11/2008
A	02/11/2008
A	02/11/2008
A	02/14/2008
A	02/14/2008
A	02/14/2008
A	02/14/2008
A	02/14/2008
A	02/12/2008
A	02/12/2008
